Rv0001	dnaA	Replication, recombination and repair	1.775	0.493	0.129	-0.13	-0.073	0.216	0.556	1.607	1.131	-0.267	-0.981	-0.912	-1.092	-1.305	-1.148
Rv0012	-	Function unknown	-0.34	-0.527	-0.555	-0.588	0.365	0.773	1.377	1.707	1.848	0.256	-0.189	-0.864	-1.227	-1.229	-0.806
Rv0038	-	Transcription	-0.896	-0.639	-0.323	-0.397	0.394	1.156	2.178	0.974	0.954	0.439	0.271	-1.311	-0.809	-1.12	-0.871
Rv0046c	ino1	Lipid transport and metabolism	-0.615	-0.641	-0.368	-0.269	0.85	1.374	1.601	1.665	1.249	-0.61	-0.829	-0.923	-0.914	-0.825	-0.745
Rv0047c	-	Transcription	-1.078	-1.083	-0.883	-0.843	0.322	1.261	1.408	1.708	1.565	0.274	-0.228	-0.462	-0.596	-0.588	-0.778
Rv0053	rpsF	Translation, ribosomal structure and biogenesis	1.207	-0.242	-0.575	-0.46	-0.174	0.101	1.051	1.993	1.4	-0.183	-0.907	-0.987	-0.858	-0.633	-0.732
Rv0054	ssb	Replication, recombination and repair	1.213	-0.248	-0.453	-0.383	-0.168	0.191	1.157	1.882	1.475	-0.36	-1.139	-1.162	-0.768	-0.922	-0.313
Rv0055	rpsR1	Translation, ribosomal structure and biogenesis	1.616	0.227	-0.13	-0.233	-0.11	0.51	1.186	1.533	1.093	-0.271	-1.198	-1.471	-0.933	-0.999	-0.82
Rv0060	-	General function prediction only	0.333	-0.36	-0.491	-0.805	-0.265	0.481	2.346	0.968	1.31	0.538	-0.188	-0.719	-0.94	-1.107	-1.1
Rv0061c	-	?	1.188	0.695	0.571	0.545	0.177	0.59	1.336	0.959	0.744	-0.599	-1.162	-0.962	-1.311	-1.399	-1.373
Rv0080	-	?	-1.132	-0.463	0.351	0.475	-0.282	-0.937	-0.812	-0.725	-1.084	-0.12	1.069	1.575	1.271	0.654	0.16
Rv0083	-	Inorganic ion transport and metabolism	0.26	0.139	-0.047	0.457	-1.173	-1.396	-1.085	-0.968	-0.775	-0.346	0.536	1.586	1.15	1.012	0.649
Rv0103c	ctpB	Inorganic ion transport and metabolism	0.085	0.578	0.525	0.176	-0.903	-1.104	-1.237	-1.19	-1.722	-0.227	1.384	0.453	1.343	0.861	0.98
Rv0107c	ctpI	Inorganic ion transport and metabolism	0.472	1.004	1.21	1.36	-0.44	-1.136	-1.349	-1.482	-1.089	-0.623	-0.496	1.022	0.466	0.679	0.403
Rv0120c	fusA2	Translation, ribosomal structure and biogenesis	-1.631	-1.058	-0.487	0.526	1.8	1.57	0.622	0.125	0.765	-1.068	-0.537	-0.653	-0.808	0.401	0.432
Rv0125	pepA	Posttranslational modification, protein turnover, chaperones	0.737	-0.487	-0.576	-0.116	0.802	0.171	1.086	1.298	1.8	-0.578	-0.348	-1.228	-1.28	-1.242	-0.039
Rv0127	mak	Carbohydrate transport and metabolism	0.718	1.227	1.525	1.093	1.17	0.973	0.179	-0.66	-1.195	-0.944	-1.083	-0.841	-1.031	-0.483	-0.648
Rv0129c	fbpC	General function prediction only	-0.854	-0.812	-0.723	-0.273	0.375	0.728	1.31	2.153	1.784	-0.544	-0.735	-0.754	-0.671	-0.464	-0.518
Rv0133	-	General function prediction only	-0.626	0.118	0.333	0.304	-0.663	-0.847	-0.929	-1.026	-0.163	0.244	0.621	2.744	0.397	-0.15	-0.359
Rv0135c	-	Transcription	-0.319	-0.214	-0.12	-0.291	0.915	1.066	1.501	1.479	1.254	-0.019	-0.766	-0.885	-1.422	-1.207	-0.973
Rv0140	-	Function unknown	-1.178	-1.202	-1.237	-1.246	-1.04	-0.503	0.27	0.78	1.264	1.866	0.674	0.314	-0.018	0.451	0.804
Rv0144	-	Transcription	1.298	0.92	0.603	0.441	0.255	0.487	0.845	0.989	0.913	-0.584	-1.009	-1.489	-1.123	-1.528	-1.018
Rv0145	-	Secondary metabolites biosynthesis, transport and catabolism	0.211	-0.575	-0.707	-0.482	0.198	0.294	1.068	1.945	1.556	0.974	-0.171	-1.064	-1.428	-1.005	-0.814
Rv0148	-	General function prediction only	0.896	1.34	1.119	1.089	0.796	1.054	0.478	-0.192	-0.149	-1.082	-0.938	-1.309	-1.037	-1.33	-0.736
Rv0154c	fadE2	Lipid transport and metabolism	-0.701	-0.61	-0.683	-0.746	-0.941	-0.925	-0.666	-0.743	-0.579	0.231	1.466	1.846	1.29	0.864	0.896
Rv0157A	-	?	-0.086	-0.308	-0.166	-0.334	0.232	0.68	1.132	1.899	1.788	0.309	-0.687	-1.2	-1.093	-1.2	-0.966
Rv0175	-	?	0.866	0.609	0.247	0.136	-0.331	-0.895	-1.622	-1.244	-1.343	-0.472	0.101	1.597	1.491	-0.063	0.922
Rv0186	bglS	Carbohydrate transport and metabolism	-0.602	-0.598	-0.744	-0.675	-1.006	-1.132	-0.831	-0.502	-0.464	0.139	0.981	1.458	1.25	1.859	0.868
Rv0202c	mmpL11	General function prediction only	-0.894	-0.432	-0.315	-0.604	-1.039	-0.958	-0.663	-0.222	-0.199	1.081	1.742	2.484	0.145	0.21	-0.333
Rv0211	pckA	Energy production and conversion	-0.657	-0.505	-0.387	-0.133	1.007	1.093	1.23	1.739	1.565	-0.462	-0.798	-0.901	-0.942	-0.871	-0.979
Rv0222	echA1	Lipid transport and metabolism	0.339	1.492	1.909	1.349	0.605	0.231	-0.568	-0.869	-0.898	-0.897	-1.017	-1.125	-0.75	0.097	0.101
Rv0236c	aftD	?	-0.059	-0.111	-0.449	-0.447	-0.894	-1.221	-1.065	-1.015	-0.816	-0.009	0.338	1.517	1.382	1.142	1.707
Rv0239	vapB24	?	0.25	0.036	-0.364	-0.475	-0.207	0.361	1.023	1.606	2.162	0.586	-1.038	-0.626	-0.948	-0.999	-1.368
